speaker,response
no happy accident,this is remarkable took less than 24 hours
you guys are unbelievable you play a game to simulate adventure but when theres real adventure out there in the real world you just wimp out,leonard do you not recall the last time we visited this gentleman we returned home without pants
what,oh come on who hasnt seen this differential below here i sit broken hearted
see maybe youll love living alone,i dont know perhaps
whatcha doing,im attempting to view my work as a fleeting peripheral image so as to engage the superior colliculus of my brain
yeah but we all want to hear it from you,i was found guilty and fined 533
you know what i can honestly say if we fall in love not only will i drive you there i will buy you all the dragon tshirts you want,okay babe lets do this
this should be fun,half chocolate half vanilla side by side not swirled
why dont you just admit you only want to play this game because you always play it with leonard and you miss him,you overestimate his significance in my life
except for raj,well i hope youre satisfied penny you are responsible for all the evil that has befallen me today
wow you really do love her,i do now lets find the kind of gift that makes her feel small and worthless
what why,you want me to use my intelligence in a tawdry competition would you ask picasso to play pictionary would you ask noah webster to play boggle would you ask jacques cousteau to play go fish
no,then were probably okay
thats pretty,where the dangers are double and the pleasures are few where the rain never falls and the sun never shines yes its dark as a dungeon way down in the mine
all right,unless it gets to the old woman in time in which case she sucks out the poison turning her into the grand empress a piece combining the power of the knight queen and serpent
whats that,tea when people are upset the cultural convention is to bring them hot beverages there there you want to talk about it
fine im taking your diploma,go ahead thats the only doctorate youll ever get it smells funny in here
i dont know,oh for heavens sake i did your laundry i peepeeproofed your belt buckles i i even sprained my wrist helping your mother lift her bosom
hello i really enjoyed our game dr cooper,oh me too
listen theyre kind of getting busy in the living room and i was wondering if i could hang out in here for a while,well i suppose come in ill sleep in leonards room good night
when did you take my blood,not important your sugar was a little high id follow up with your regular physician in the meantime i have some paperwork here for you to go over
and yes even shed a tear or two,like when you do a twohour fourth of july spectacular and it doesnt get recorded
okay i get it i get it i get it,do you know its amazing how many supervillains have advanced degrees graduate school should probably do a better job of screening those people out
well why,im attempting to turn over a new leaf earlier today it was pointed out to me that i tend to force my ideas on people
im getting worried about bernadette im gonna call and check on her,the national science foundation wants to give me a substantial grant
thankyou sheldon,youre welcome point of inquiry why did you put your car key in the door lock
and im sure he knew that before you held a grapefruit up next to it,well im not making any promises not only did leonard take what i feel is an unnecessary risk he deceived me
a sports metaphor,yes baseball
im smart enough sheldon asking me a bunch of questions about a topic im not familiar with doesnt prove anything i could do the same to you,yeah try me
fine what i did was wrong,i wish i could believe you
she is shes just running a little late you know how it is girls always fussing about their hair their makeup shell be here just give it a rest okay,um can i have your attention everyone thats uh bflat for those who dont have perfect pitch i would like to propose a toast to my best friend dr leonard hofstadter he has been presented with a wonderful opportunity and i couldnt be happier for him
this is silly i have nothing to worry about,oh i dont know i mean statistically speaking im sure you have something to worry about
shes pretty good huh,she is but when do they get to the part about streetcars
seconded,there being no objections
and as long as were talking about betraying our friends how about the month sheldon spent grinding up insects and mixing them into leonards food,well excuse me that was not a betrayal that was an experiment to determine at what concentration food starts tasting mothy
so youre like one of those beautiful mind genius guys,yeah
maybe john connors aboard and shes protecting him from an evil terminator,unlikely thats a television show leonard
okay if youre gonna start sniffing people im gonna go get a hot pretzel,excuse me do you have any books about making friends
leslie winkle youve reached friends with benefits for a booty call press one now,what exactly does that expression mean friends with benefits does he provide her with health insurance
thanks,oh seriously
whats up,well as you may know ive been experimenting with elevated anxiety levels and i thought what better way to increase my discomfort than to subject myself to an evening of tasteless uncensored crotch talk
its just a blackout im sure the power will be back on soon,and im sure some fool in the donner party said the snow would stop any day now i like to think they ate him first
i smell chinese food,its actually thai youre slipping
no wait wait no wait wh what are you doing here,a reasonable question i asked myself what is the most mindnumbing pedestrian job conceivable and three answers came to mind uh toll booth attendant an apple store genius and what penny does now since i dont like touching other peoples coins and i refuse to contribute to the devaluation of the word genius here i am
guys sorry im late i have amazing news,bernadette before you change the subject does anyone have any final comments on leonards faulty digestive system
penny kissing me is not insane she used to kiss me all the time,einstein defined insanity as doing the same thing over and over again and expecting different results by that standard penny is cuckoo for cocoa puffs
of course i do there have been many studies proving its validity,great now this may look like a tic tac but it is really a powerful medication specifically designed to cure your illness as well as freshen your breath
thank you for filing a complaint with my superior dr cooper i understand you want to recant your statement about howard wolowitz,yes
yes,okay because that was not clear
im talking about important things like emotional maturity,you were just spying on your girlfriend through a peephole
im supposed to give him a ride home,well im sure hell be fine he has his hammer
what are you doing,subliminal messaging im going to make you want to pee dripping faucets leaky gutter peeing
i thought that might take his mind off the cushion,whats real what isnt how can i know
thank you sheldon,now will you give my paper to hawking
oh good god,in short anyone who told you that you would someday be able to make any significant contribution to physics played a cruel trick on you a cruel trick indeed any questions of course not i weep for the future of science now if youll excuse me the latest issue of batman is out come leonard
we have to tell him,tell me what
sounds like a great plan,of course it is even talking to you is sufficiently menial that i can feel the proverbial juices starting to flow
hey sheldon i just wanted you to know that im really looking forward to wiping the floor with you,oh yes well before i respond let me ask you a question is your mother a good or poor bowler
go away,we could call it nuevo cherusalem
ooh the philharmonic is playing beethoven downtown,before you say yes its not the movie about the big dog
in the paintball shed twice,is that why you didnt cover our escape and let us get cut down like animals
sure,the spiny anteater never went behind my back and worked with barry kripke that didnt help at all
but i fired you,oh i know im now an independent contractor
we did but there were extenuating circumstances,i see did her abysmal housekeeping kll finally trump her perkiness
how come its not a party when we do it here,because we dont throw parties
i said well past it,excuse me officer hernandez any leads on the person who stole my belongings
come on but if you dont stay awake well never finish in time,im sorry coffees out of the question when i moved to california i promised my mother that i wouldnt start doing drugs
not the roommate agreement,indeed the roommate agreement i call your attention to the friendship rider in appendix c future commitments number 37 in the event one friend is ever invited to visit the large hadron collider now under construction in switzerland he shall invite the other friend to accompany him
if were having anchovies on the pizza we cant take it out of bathroom time,oh what fresh hell is this
sheldon im gonna get the surgery its no big deal end of story,very well im done talking about it
what youre afraid of both dinosaurs and chickens,yes but tell me a dinosaur chicken salad sandwich wouldnt hit the mesozoic spot
thanks i imagine you smell very nice too,i shower twice a day and wash my hands as often as i can
one more time,brobdingnagian
i love you too,dont worry officer they just love each other were not smuggling drugs
oh come on what is that,its a game that i just invented in which the participants answer physics questions in remedial spanish um dónde está el boson de higgs
excuse me,yeah but not your books something they might enjoy i kid of course big fan
mmm,leonard penny i just i want you both to know that i regret my actions toward the two of you thatâs a lie
whatever it is im guessing were doing it wrong,gentlemen this is the coast starlight one of the great american trains operating on one of the classic american routes on this side youll see panoramic ocean vistas inaccessible to any other form of transportation while on your side youll be treated to 350 miles of costcos jiffy lubes and cinderblock homes with aboveground pools
i dont know,this act of aggression must be met with swift and cruel ferocity it is time to cry havoc and let slip the dogs of wr
well uh uh what are you doing up,i was using the bathroom
what do you want sheldon,oh i was having a little trouble sleeping and i just thought uh seeing as youre up we could talk
sweet,plus i get to hang out with him again at the hearing this is going to look great hanging next to my restraining order from leonard nimoy
you applied for a mission to be a colonist on another planet and couldnt be bothered to tell me,would you have approved
it only refers to dr cooper and his team did you even talk about him,all i did was answer a few questions about the theory and then expressed my gratitude that scientific american doesnt include any of those smelly perfume cards
yes,no no wait dr crawley are you sure
sheldon it was just a little tremor,a little tremor that turns routine sinus surgery into a frontal lobotomy oh i dont care for this at all oh i need to see hes okay
its my comic book,leonard we need a ruling
i dont know why,just making dinner conversation go team leonard
im sorry you feel that way,i dont think youre fully aware of the ramifications here leonard
whatever sheldon im exhausted im not taking you to the dentist,wrong sir wrong under section 37b of the roommate agreement miscellaneous duties you are obligated to take me to the dentist see its right here after providing a confirmation sniff on questionable dairy products
heres your learners permit go away,but im not done i have many additional concerns about these questions
why didnt you just why didnt you just have soup at home,penny i have an iq of 187 dont you imagine that if there were a way for me to have had soup at home i would have thought of it
hello sheldon,leslie winkle
okay i got a box but theres no key in here just letters,thats the wrong box put it back
yeah it was but im really sorry that i disappointed you,no no i understand anything happened to my meemaw id be one inconsolable moon pie i should clarify that statement by explaining that she calls me moon pie
cut,whats wrong
im so glad you like it,im prepared to say i love it as soon as i confirm there are no hobos aboard
thank you that means a lot to me,oh dont thank me thank wireless technology i realized i can go to your aunts awful party and still spend the whole day gaming with my friends
what,ive been thinking about what happened and i hope this gift will make things better
i cant help it my howie wowie has an owie,that is the most sickeningly sweet thing i have ever experienced and i am sipping koolaid through a red vine
i dont think i can go out with her tonight,then dont
kites ho,excuse me youâre misusing the word ho itâs an interjection used to call attention to a destination not an object as in uh land ho or uh westward ho
thats enough sheldon,all right lets get right to the vote show of hands all those opposed to leonard and his reign of tyranny
when youre done copping a feel that goes on my wrist,all aboard woowoo its official im an ho trainiac
its good to stretch your muscles before you run,all right
anywhere but the space station on a good day dinner was a bag full of meat loaf but hey you dont go there for the food you go there for the view,its fascinating let me see if i can duplicate the result howard ive always thought the lemon was an underrated fruit care to weigh in
okay lets go,yeah ive been reading up on biomechanics i think youll be surprised at my wah oh
exactly,something he wouldnt buy for himself something fun something like oh an 802 11n wireless router
public restroom kit everything a boy needs for making pee pee in new and strange places,i dont see whats crazy about bringing a backpack with your own toilet paper and purell
are you planning on sitting here,no im going to the comic book store
do the shrimpers feature in your story,no anyway when i was eight a montgomeryward delivery van ran over our cat lucky
you cant wear the hands on the date,hulk sad
im gonna go talk to penny,im going to go inside put on my coziest pajamas curl up with a good book and wait for this nightmare to be over penny sorry
shall i wait,yes please how may i help you
you know for an extra four bucks i can have this thing here tomorrow,well i know it was your idea but the reporter said hes been following my work for a while and the only reason they even mentioned it in the magazine is cause my name is on it
what do you mean,according to a classic psychological experiment by yerkes and dodson in order to maximize performance one must create a state of productive anxiety so id like to ask you all to do something for me keep me on my toes just throw me off my game essentially go out of your way to make my life miserable
get rid of her how,i dont know but apparently im in some kind of relationship and you seem to be an expert at ending them
and you,enjoyed a delightful dinner at a reasonable price the manager recognized wil and let us sit right next to the frozen yoghurt machine right next to it i was closer to it than i am to you right now
id say it now but look at those cheekbones,i miss stuarts place all this loud music and exposed brick what is this a comic book store or a rave at the third little pigs house
im not jealous i just think its silly for you to compare relationships like theyre something that can be quantified,everything is quantifiable that french fry a seven spiderman a nine the number nine oddly only a four
id make fun of sheldon for having girl problems if i wasnt in shock that sheldon has girl problems,no leonard go ahead and mock like my daddy always said shelly women arent anything but flippin pains in the bottom
hey what brings you in,penny if you wouldnt mind id like to have a conversation about girls
oh gasx has a new ultra strength i guess they really do read their mail,hey isnt that professor proton
just sit down and eat,fine
toby what a stupid name for a cricket,told you
yeah she works at a law firm in new york,yes but shes the only monster at the firm between you me and the wall i think shes an affirmative action hire
why do i bother talking to you people,if itll make you feel better we rarely listen
see howards just as good a dungeon master as i am,as good you just got pantsed in the schoolyard foureyes
never mind whats your announcement,oh good my turn well this is very exciting and i wanted you to be among the first to know
excuse me hello my parents are trying to marry me off to a total stranger what am i going to do,i suggest you go through with it
do you think quitting my job was a mistake,do you see me drinking lemonade
no,aw
way to go the extra mile your meemaw would be proud,my meemaw must never know of this now will you give professor hawking my paper
i dont care im taking a stand metaphorically,all right thats it strike three
sheldon may i ask you a question,i would prefer that you not but i wont go so far as to forbid it
happy kitty sleepy kitty,what are you trying to pull mom from the top
uh which one the classic burger the ranch house burger the barbecue burger or the kobe burger,cant we just go to big boy they only have one burger the big boy
thank you dr cooper,youre welcome dr hofstadter
where no sheldon has gone before,its the story of a young boy who is transported from the ignorant backwoods of east texas to the 23rd century where his genius is not only appreciated but celebrated
you heard that ladies night ladies were eventually coming for you,fascinating
sheldon whats the point,just like schrodingers cat your potential relationship with leonard right now can be thought of as both good and bad it is only by opening the box that youll find out which it is
hey sheldon,hello penny
no im saying you and string theory sound like a relationship and i know what its like to be in one and realize its never gonna turn out the way you want,i said leonard you said no
as i was saying,youre telling it wrong ira to really understand the story here you have to start at the very beginning a small town in east texas where a young genius named
not in a rush busy with work,things are good right now
uh i was hoping you wouldnt notice irene was always a slave to a good bargain when it came to clothes and sadly as it turned out space heaters,ladies please these four walls once housed an intellectual salon where the mind received nourishment as well as the stomach but through no ones fault penny the quality of dinner conversation in this apartment has declined and again im looking at no one in particular penny
you had a panic attack when we went through the car wash,perhaps the emotion youre referring to was shock at you having something cleaned
sure what are you doing,im trying to get the hair out of my eyes
i hate to tell you but the only warm memories i have of my childhood are of my uncle floyd,youre clearly misremembering your mother is brilliant analytical insightful and im betting she never hit you with a bible because you wouldnt eat your brussels sprouts
well uh i cant believe you used sheldons toothbrush,you used my toothbrush
maybe,leonard penny excellent id like to say im very happy that youre back together and if i can figure out a way to do so and sound sincere i will in the meantime id like to go over some proposed changes to the roommate agreement specifically to address pennys annoying personal habits
so sit next to me,no i sit there
are you sure,what are you suggesting
excuse me,is that a yes or a no on the freezer the woman has the attention span of a gnat
would you just look inside,oh a scroll i like scrolls theyre my third favourite system of transmitting the written word after stone tablets and skywriting you have all been summoned to join a thrilling dungeons and dragons adventure your quest begins in a secret northern village of elves who have all been massacred i like where this is heading your task is to rescue their leader from a dungeon of ogres oh thats a saucy twist that leaders name santa claus no no no
you know he might not reopen he didnt get a lot of money from the insurance company,oh boy if there is one thing that gets my goat its those dadgum insurance companies
hey,okay now that everyones here we can begin
it would be pretty awesome to hang out with him i just used awesome wrong didnt i,well im emailing him right now
therefore to not play with it would be,illogical oh damn it spock youâre right iâll do it
sheldon are you worried about your safety,no i imagine if you were going to kll me youd have done it a long time ago
what do you think sheldon want an action figure that looks just like you,would it come with kungfu grip
now,hurry were going to be late
it doesnt i know it makes you feel like youre bathing inside a monster,look i appreciate the effort but im still unclear how this trip is supposed to be enjoyable for me
so walk home,i cant theres a big dog outside on the way home we can start thinking about methods of optimizing the detector for 500 gev particles
no problem bye oh and bye bro,penny for your thoughts
uh im gonna go lie down,thats a good idea get your rest there are a lot more rich old ladies out there and daddy needs a new linear accelerator and i thought he didnt learn anything from his relationship with you
oh wheres raj,at home forbidding it
your flaring nostrils indicate otherwise,cluckcluckcluck
cheers,priya do you know why this is called a toast
maybe your tongue is shrinking,nope oh you have no idea how annoying this is
ive always wanted to do a traditional victorian christmas parlour games goose and figgy pudding,ugh english pudding you get yourself all excited for pudding and here comes a cake with raisins in it im not going
why dont you just do the test,in the interest of science id be willing to
youre giving me a couch cushion,no the cushion is merely symbolic im giving you my spot on the couch
sheldon hang tight hey do you want me to bring anything,oh yes please a pair of pants and my toothbrush yeah and my mail and a really good comeback for chicken legs because i know you are but what am i was met with stony silence
were fine sheldon,all right then good night
i have got to learn how to draw hey,once again defeated by your own prurient interests
alright noted but my point is that koothrappali and wolowitz theyre hitting on your sister,oh okay you know i dont want to criticise your rhetorical style but wed be a lot further along in this conversation if youd gn with that thought
okay sheldon sit down,if theres going to be a theme i should let you know that i dont care for luau toga or under the sea
no ones saying that lets go,well it does seem rather ironic that for want of 99cent adhesive ducks we both might die in a fiery car crash
yeah,i still dont care
could you tell us,lets see snake eyes sorry bud
dont you think looking for a new city to live in is a bit of an overreaction,our apartment was broken into our security system tried to kll me and as a result im leaving pasadena forever tell me how thats overreacting
something his mother taught him,all right elizabeth the bathroom is yours the seat is down and has been sanitized for your protection
its not just a parking spot he cant handle the fact that im a bigger deal than he is now,oh preposterous i have been solely responsible for this universitys six loop quantum gravity calculations i have changed the way we think about boseeinstein condensates and i am also the one who got nutter butters in the cafeteria vending machine maybe you missed that news while you were floating around like a goof in outer space now if youll excuse me i have work to do
did anyone see how he did it,dont worry ive got this ladies and gentlemen honoured daughters while mr kim by virtue of his youth and naivety has fallen prey to the inexplicable need for human contact let me step in and assure you that my research will go on uninterrupted and that social relationships will continue to baffle and repulse me thank you
well hello there,professor hawking
so i understand that you actually discovered this element by mistake,yes
what are you working on,im removing my digital footprint from the internet so amy farrah fowler cant find me and compel me to meet her mother
sup,sup my apologies i wouldve been here sooner but the bus kept stopping for other people to get on it
oh honey did your mom not have the talk with you you know when your private parts started growing,im quite aware of the way humans usually reproduce which is messy unsanitary and based on living next to you for three years involves loud and unnecessary appeals to a deity
yes,did you meet anyone interesting there perhaps a promiscuous redheaded barmaid
bernadette just asked about my sexual encounter with you the meme has reached full penetration,pun intended
being left out is a terrible feeling no one understands that better than i do,hey look at that even in your example youre all by yourself
yeah well im sick too,not my problem i just dont understand how this happened to me im scrupulous about my hygiene i regularly disinfect my hands and i avoid contact with other people on general principle
seven oclock right on time,its not an accident i waited outside your door for twenty minutes
all the wealthy and beautiful people in movies ride jet skis that cant just be a coincidence,we cant sell it we have to keep it and love it and polish it and only take it out occasionally when we go to the park and reenact our favourite scenes from the movies
what this road trip just got crazy,play that funky music white boy
yes no and no,wait i just want you all to know that i forgive you this mutiny isnt your fault its mine i havent earned these bars although what i lack in leadership apparently i more than make up for in sewing
what landing party,youre kirk im spock wolowitz is scotty koothrappali is the guy who always gets kll and now weve got mccoy
so why did you finally tell me,the point of the experiment is to be completely honest with each other
sheldon my world is crumbling around me,point of order as youre in distress it would be customary for me to offer you a hot beverage but im a guest in your home so it would be customary for you to offer me a beverage how do you want to proceed visavis beverages
okay what do you watch on thanksgiving,the parade
are you crazy you know hes a flight risk,thats exactly what i told him
actually we should all share the moment raj if you would,oh tweets about my lecture hmm thats rather unfair thats downright cruel plus insects have six legs yeah im not familiar with the acronym kmn
hey,another compliment learn to recognize them
well id like to be green but you know you always take it,thats not true any colors fine with me yeah i could be aa combination of blue and yellow
will you stay out of this,if only penny had said that once in a while
look dr cooper i really want this position it would be an incredible honour to work for a man of your brilliance,flattery will not get you this job ms jenson
havent seen you in a while hows it going,oh other than waiting out the exponential growth period of the virulent organisms trooping through my microvilli into my circulatory system hunkydory did i say something amusing
hilo oops i started to say hi and then i switched to hello in the middle it came out hilo duh uh its nice to meet you ive read both your books and most of your papers im leonard i live,i apologize hes only an experimental physicist
no,your failed attempt to go back to college
yeah well so was i,really i didnt see you in there
that should lighten the mood,what can i say i put the fun in funeral
come on its still early lets do something,well i have been toying around with an idea for 4d chess
youre going,why do you hate me
shhh sheldon what do you want,i want soup
so uh whats your plan moving forward,uh suppose ill have to find and cultivate a new roommate what a task that will be do you know how uncivilized leonard was when i took him in
hes got the movie get him,why is there never a pontoon plane when you need one
now open your hand and let it go,but i just got this pen its got my initials on it and everything look
why not,penny while i subscribe to the many worlds theory which posits the existence of an infinite number of sheldons in an infinite number of universes i assure you that in none of them am i dancing
hey raj still not talking to me huh,dont take it personally its his pathology he cant talk to women
great timing food just got here,ooh siam palace
im sorry uh this one lets go,i have insufficient data to proceed excuse me miss
oh this is ridiculous what,hello penny i realize youre currently at the mercy of your primitive biological urges but as you have an entire lifetime of poor decisions ahead of you may i interrupt this one
sorry,well you should be because all i can think about is how much i want to kiss you and not just on the cheek but on the mouth like mommies and daddies do
on the floor,the kll are transferrable i just have no interest in going in the water
yeah youre gonna have to walk me through that,with giftgiving theres an implied social contract if i show up tonight with a present and she doesnt have one for me shell feel terrible
cant you take this up with your department chairman,we tried his assistant said he was on sabbatical although we distinctly heard his office window open and shut
oh i like to laugh but say it anyway,okay um what do you say to a graduate of the uc berkeley physics department ill have fries with that because his education hasnt prepared him for a career in the sciences
oh sure i sit on the floor for years no one cares the pretty white girls there ten seconds and suddenly were all running to ikea,no one is running anywhere were not getting a dining room table
just reset the board,it must be humbling to suck on so many different levels
hello sheldon,hi
based on the geometric progression his relationship with stephanie should have ended after 20 minutes,yes im aware of the math y equals 27 days over 12 to the nth the issue remains how do we circumvent his inevitable rejection
oh yeah,im so proud of you you sold yourself out like a common streetwalker
huh that does explain why the servants used to look so hot while they were fanning me lets get our minds off how uncomfortable we are we could take some more simulated instrument readings,my major focus at the moment is keeping my claustrophobia at bay
calm down dear mary im curious when did you first realize that your son had such a remarkable mind,ooh good question everyone loves stories about sheldon cooper boy genius
anyway i got invited to do a little talk at nasa in houston this weekend they gave me two tickets bernadette cant go you want to come with me you can visit your mom and ill show you around the space centre,i have one question is this a prank where we land in houston and youve made up wanted posters that have my face with a moustache and a spanish name and then i get arrested and deported to south america
good story,well count me out
no,heres two dollars go buy some beef jerky
glad i was sitting down for that did you and amy get in a fight,amy had a fight i was being perfectly reasonable im gonna have a whiskey do you want anything
so ive noticed leonard gets teased a lot 0about his relationship with penny,yes if youd like to join in the premise is their love seems unlikely and doomed to failure
look you said it yourself we have to create a database before you can write an algathingy,algorithm you see penny alan turing defined an algorithm
you know what baffles me sheldon,based on your academic record any number of things i would imagine
oh uh hes crazy,i have spent my whole life trying to bring order to the universe by carefully planning every moment of every day but all my efforts our dinner schedule my pyjama rotation my bowel movement spreadsheet its clear now ive been wasting my time
your assistant is totally hitting on this jerk and he loves it,well thats not acceptable i mean im her boss she needs to be solely focused on my needs not distracted by your pasty androgynous brand of sexuality
how do you know what the exact temperature of the room is,under the terms of my roommate agreement with leonard ive had unilateral control of the thermostat ever since the sweaty night of 06
god this is going to be bad,goodbye honey puffs hello big bran
i really dont get your problem with birds,the question you should be asking is what is their problem with me my first memory a hummingbird bmb my stroller to get at the apple juice in my sippy cup
yes we can,yeah well then do it
well im a hindu my religion teaches that if we suffer in this life we are rewarded in the next three months at the north pole with sheldon and im reborn as a wellhung billionaire with wings,well gentlemen have you reached a decision
dr cooper i just wanted you to know im sorry for the role i played in the pluto matter,oh shut up
you sure youre okay with this,yes i decided to find a way that i could have this experience and enjoy it
negative reinforcement is really wrong,oh its used incorrectly all the time even bill murray makes that mistake in the first scene of ghostbusters
oh great selection great prices,my mother was right hell is real
it was a long story anyway sheldon i promise i know what im doing please let me cut your hair,amy what do you think
some perfect couple he wont even share his food with her,it has avocado on it shes allergic to avocado are you so jealous of our relationship you want amy to die
it would be a replica of a movie prop,fair enough itd give you the right to rule a replica of england
really,bazinga none of you ever see my practical jokes coming do you
what,why do you have the chinese character for soup tattooed on your right buttock
are you really going to be on npr,yes theyre interviewing me by phone from my office regarding the recent socalled discovery of magnetic monopoles in spinices its pledge week and theyre trying to goose the ratings with a little controversy
noticed the eye patch did you its all part of a technique ive been studying for picking up women you employ a visual display designed to make yourself distinctive and memorable,oh yes like the male peacock with brilliant plumage or the rutting baboon with engorged hindquarters
excuse me,i see man after man leaving this apartment never to return
somebody sing the damn song,good king wenceslas looked out on the feast of stephen when the snow lay round about deep and crisp and even
a small payload support structure for a european science experimental package thats going up on the next space shuttle,really how does it work
okay you know what i give up im going to bed,heres something else you dont know about me you just hurt my feelings
you are nice boys tell you what im going to do im going to bring you the four dumplings when im walking over to the table maybe i get bumped one of the dumplings falls to the floor noone has to know,ill know
quick pull the fire alarm lets get out of here,uh hello again um yeah i dont know if women in general have been actively discouraged from pursuing the sciences but its clear you young women here today have been while i was listening to my colleagues waste your time it occurred to me that it might be much more meaningful to hear about women in science from actual women in science and uh i happen to know two brilliant examples who have agreed to speak to you on the phone right now uh dr rostenkowski dr fowler are you there
great how,we pretend were aliens im not the best at reading facial cues but im gonna say that you love it and want to hear more now in the beloved novel hitchhikers guide to the galaxy an alien named ford prefect pretended to be human in order to blend in so that he could write an entry about earth for the hitchhikers guide to the galaxy which is a travel book within the actual book which is also called the hitchhikers guide to the galaxy
you smell like baby powder,its talc but as thats a primary ingredient of baby powder i understand your confusion
what,i have good news
well that does sound like me but no,is there some problem
ugh fine but the man really needs to work on his girl issues,another reason to consider a life of piracy even today i understand thats an allmale profession
you call yourself a friend i was trying to help you and at the first sign of trouble you ran away leaving me to fend off a family of rats youre a completely selfish human being and a and a physical and a moral coward,his statements of the obvious continue to annoy
but in exchange id like you to do a few things for me,what kinds of things
uh no no not really listen didnt you say you needed some eggs,uh yes but anyone who knows anything about the dynamics of bacterial growth knows to pick up their refrigerated foods on the way out of the supermarket
like it was ten hours ago what about it,well i believe ive done it and im only saying believe to sound modest because sweet sam houston i did it
i dont want to talk about it,but i sense youre going to and i dont want to hear about it excuse me
yeah yeah that was my plan all right come on lets go,oh by the way thank you for the delicious cocoa
i know i know,i can still eat
sheldon,fine no more drowning talk ill change the subject oh who do you think would win in a fight you or a shark
okay weve got fajitas with all the fixins so you make your own,wonderful dinner some assembly required
well good for leonard,euclid avenue is shorter as the crow flies but it has speed bumps which appreciably increase pointtopoint drive time making it the less efficient choice but you have the conn of course if youre not going to slow down for the speed bumps i withdraw my previous objection heres a fun question do you know what the most common street name is
sheldon do you want some or not,yes please your girlfriends a little shorttempered
mmm in all fairness pictionary has verbal kll visual kll its a pretty wellrounded game,lot of big talk from a man who cant draw a chocolate chip cookie
can you just let us in,luckily for you this is not a nuclear reactor
oh well you know i ive got two hands and a bit of a drinking problem,of course ask a silly question
i cant believe you were testing me against a chimp,well excuse me amy was testing you i was rooting for you good job on that banana box by the way
no i mean why are you going to so much trouble to prove that youre smarter than wolowitz,oh its no trouble its actually a pleasure
well if youre not comfortable staying here sheldon,im kidding i packed it it was a joke i was subverting the conversational expectations i believe they call that the um old switcheroo
what alibi,youve asked me to lie on your behalf and as you know i am deeply uncomfortable with impromptu dishonest so ive provided you with an iron clad alibi you couldnt have spent last night with priya because you were with another woman
so after drinks with bernadette i get home and penny calls to complain about her and then while im talking to penny i get a text from bernadette,i am trying to prepare my lesson plan for howard why are you telling me this
little ball of fur,thats not gonna work
oh are we nervous dr cooper,no what you see is a man trembling with confidence does a locus coeruleus normally bleed that much
the exercise sheldon shouldnt you be getting ready for work,im not going would you like to know why
thats a good question,does that mean the relationship is over
next time we go to kick someones ass we take the train,i always prefer the train
there nice and comfy cosy zero zero zero,theres one more zero you forgot the time parameter
right fine ill tell howard you didnt come because youre more concerned about your own wellbeing than his,i would think he would know that
still my first choice for an ankle tattoo or a dolphin i go back and forth,age seven a bloodthirsty chicken chases me up a tree age twelve a magpie tries to steal the retainer out of my mouth age sixteen a parrot in a pet store called me fat ass need i go on
i think if i were manipulating you youd be smart enough to see it,how do i know youre not saying that as part of the manipulation
is there a problem,lets not call it a problem lets call it an opportunity to solve a serious problem
its better than hot its binding,if youre free tomorrow night id love to have you join us on a double date
of course,so theyre requesting that the white boy play the funky music yes
i dumped them theyre a bunch of wussies,frenzy stance
well now you are,oh alright leonard
hey i think i know how you did the card trick,oh oh please if i dont know you dont know thats axiomatic
okay imagine your problems are a pen,okay
okay uh oh consider this with your father gone it is your responsibility to make sure that missy chooses a suitable mate,i hadnt considered that we do share dna
no its fine look sir isaac can go right next to this little candy cane,no isaac goes at the top of the tree
what,when i was little my sister would say to me close your eyes youll get a surprise and then shed punch me
oh okay how about this you can go dressed as a star trek science officer exploring a planet similar to earth in the 1500s,you mean like spock
yeah,thats a temporal anomaly corn dogs didnt come into existence until the first half of the twentieth century
no no i think itll be great maybe next time he gets conjunctivitis at work she can hold his head and try to put the drops in his eyes giant baby,thats a raging ogre
australia mate,and now its time for the speed round of flag or not a flag
what do you want me to do about it,relationship agreement section 4 booboos and ouchies you have to take care of it
okay let me see if i understand this you want me to convince my exgirlfriend to go to a costume party with her new boyfriend just so we can win a stupid prize,yes and make her wear the black wig good luck
no come on tonight we are trying new things,oh thats a lot of incense or someone set a hippie on fire
wow this place is awesome where do they keep the archies,in the bedrooms of tenyearold girls where they belong
really i assumed an establishment called the cheesecake factory would function more efficiently,its how they lure you in i believe its called bait and switch
aaah for gods sake sheldon you are driving me crazy,your angers not with me sir but with basic mathematics
what do you want,you may want to sit down
thereâs some in the fridge,you shouldnât keep your bread in the refrigerator staleness is caused by crystallization of the starch molecules which occurs faster at cool temperatures
yes youre forbidden,bad leonard
all right have a nice walk,i shall have a nice scoot
i trust this clarification allows us to return to boyslashfriendslashgirlslashfriend status,of course would you like to join me for chinese food
got a bit of traffic this morning huh think its gonna rain instead of underpants i covered my crotch with potato salad this morning thoughts okay i know whatll cheer you up lets play one of your driving games,all right this game is called traitors i will name three historical figures you put them in order of the heinousness of their betrayal benedict arnold judas dr leonard hofstadter
yes,individual relish packets
now you know why were not outside,did you enjoy my lecture
good night sheldon,good night leonard
the only person allowed inside this head is dr phil anyway i i spoke to my new lady friend about meeting you all and she thought it would be easier for her to start with just one,oh gee i dont know my schedules a little busy
then why did you have chinese food with us,i didnt want to upset you howard made it very clear that my allegiance should be to male comrades before women who sell their bodies for money
